epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,67.1509,1.57526,2.52032,0.95329,0.80767,0.69039,0.77405,0.42443,1.42269,1.26635,0.88359,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,134.918,1.4395,1.12176,0.90137,0.83009,0.71663,0.78545,0.44314,1.35536,1.06656,0.88779,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632
3,202.767,1.46999,1.00938,0.91377,0.63972,0.5208,0.52561,0.29647,1.49581,3.04687,0.94107,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779
4,270.282,1.4439,0.97212,0.91227,0.7996,0.70475,0.76408,0.43091,1.41399,1.06549,0.91005,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,337.639,1.34894,0.86842,0.89596,0.83651,0.72641,0.78289,0.43164,1.41472,0.95303,0.89588,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,405.124,1.28805,0.81085,0.88051,0.88763,0.7809,0.855,0.52723,1.17101,0.7706,0.85922,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,472.727,1.23619,0.75667,0.87193,0.9075,0.79032,0.8691,0.54885,1.15602,0.70382,0.85663,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,540.519,1.20825,0.72877,0.86627,0.9059,0.80987,0.8821,0.5731,1.1154,0.66694,0.8494,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,608.548,1.17469,0.7073,0.85958,0.87135,0.82234,0.86836,0.55469,1.16055,0.67122,0.85711,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,676.095,1.14789,0.67906,0.85734,0.9152,0.79455,0.8723,0.52223,1.24639,0.68551,0.8706,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
