epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.3732,1.60724,2.81198,0.95659,0.8442,0.69831,0.78066,0.42685,1.3824,1.43035,0.89461,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,124.33,1.44258,1.31341,0.91396,0.83688,0.6808,0.76847,0.43386,1.38019,1.10798,0.90555,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632
3,185.786,1.46709,1.04278,0.92233,0.76727,0.62792,0.68594,0.35415,1.53807,2.299,0.94091,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779
4,246.459,1.43065,0.95767,0.91372,0.83499,0.69041,0.76436,0.45365,1.31423,0.95988,0.89063,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,307.466,1.33251,0.84054,0.8981,0.88045,0.75969,0.83495,0.47037,1.3706,0.80461,0.89557,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,368.102,1.26904,0.77934,0.8818,0.86661,0.7476,0.81791,0.51211,1.19795,0.82296,0.86928,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,428.745,1.22694,0.73896,0.87485,0.89412,0.80218,0.87916,0.55927,1.16987,0.70533,0.86313,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,489.41,1.19127,0.70622,0.86769,0.88822,0.79488,0.87974,0.57626,1.1008,0.6703,0.85201,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,550.027,1.16426,0.68483,0.86099,0.90431,0.81708,0.88376,0.58988,1.08779,0.65229,0.84838,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,610.732,1.13934,0.65767,0.85963,0.92086,0.85326,0.91336,0.62074,1.0378,0.57612,0.83984,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,671.545,1.11848,0.64121,0.8547,0.90383,0.85171,0.91197,0.59562,1.05381,0.58944,0.84173,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,732.047,1.0985,0.62445,0.85055,0.92611,0.85604,0.91316,0.61683,1.01172,0.56541,0.83382,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,792.56,1.08657,0.61556,0.84799,0.91891,0.87833,0.92309,0.63685,0.96983,0.54554,0.83093,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,853.09,1.07322,0.60369,0.84641,0.93144,0.85809,0.92521,0.63004,0.98609,0.53708,0.83162,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,913.78,1.05883,0.59043,0.845,0.92599,0.87401,0.93157,0.63902,0.97194,0.52785,0.82979,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,975.056,1.04399,0.58153,0.84226,0.93652,0.88475,0.93729,0.66747,0.92562,0.49325,0.82429,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1036.43,1.03101,0.56971,0.84089,0.93692,0.8777,0.93901,0.65765,0.93067,0.51114,0.82401,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1097.43,1.02224,0.56156,0.83769,0.94304,0.86772,0.93238,0.66624,0.92037,0.49626,0.82477,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1158.24,1.01582,0.55588,0.83627,0.93252,0.89345,0.93891,0.6593,0.92481,0.48944,0.82341,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1219.18,1.0017,0.54584,0.83361,0.93772,0.90401,0.94541,0.66431,0.91026,0.47248,0.82288,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1280.19,1.0019,0.54247,0.83602,0.92897,0.90719,0.9482,0.67841,0.89249,0.47032,0.81875,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1341.26,0.98587,0.53622,0.83393,0.93607,0.90081,0.94898,0.68542,0.87703,0.45173,0.81736,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1402,0.98365,0.53207,0.83117,0.94644,0.90037,0.95035,0.6885,0.87073,0.44842,0.81526,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1462.56,0.97304,0.51833,0.83136,0.94549,0.89737,0.95032,0.68228,0.87804,0.45231,0.81535,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1523.08,0.96453,0.51378,0.83089,0.94835,0.89805,0.95257,0.69423,0.85287,0.43597,0.81209,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1583.7,0.95531,0.50819,0.82786,0.95398,0.90536,0.95458,0.69336,0.86018,0.43424,0.81383,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1644.11,0.95267,0.50777,0.82761,0.94732,0.91655,0.95736,0.70182,0.84144,0.42294,0.81091,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1704.66,0.95662,0.50698,0.82764,0.9562,0.91993,0.95616,0.7035,0.83515,0.41443,0.81018,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
