epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9006,1.63422,3.78056,0.96789,0.00077,0.11813,0.00441,0.00298,1.59116,4.94772,0.88228,0.000467173,0.000467173,0.000467173
2,36.123,1.38136,2.03564,0.89971,0.96768,0.05104,0.24715,0.16188,1.51704,3.90453,0.90457,0.000934166,0.000934166,0.000934166
3,49.2673,1.33527,1.54666,0.89924,0.60974,0.3656,0.40162,0.24328,1.51753,2.0759,0.89672,0.00139173,0.00139173,0.00139173
4,62.3795,1.31343,1.27221,0.89575,0.5686,0.39204,0.42594,0.24013,1.56142,1.93108,0.89802,0.00138656,0.00138656,0.00138656
5,75.1215,1.28133,1.10529,0.8921,0.71157,0.40246,0.46459,0.27204,1.4933,1.63982,0.90099,0.00137241,0.00137241,0.00137241
6,88.1521,1.22298,0.98461,0.88519,0.66539,0.4293,0.46316,0.27937,1.47014,1.62394,0.88875,0.00135826,0.00135826,0.00135826
7,101.279,1.21274,0.94841,0.87642,0.61126,0.46633,0.48261,0.28493,1.43297,1.53397,0.88243,0.00134412,0.00134412,0.00134412
8,114.348,1.19226,0.90189,0.87542,0.70394,0.44016,0.50997,0.32098,1.35967,1.52656,0.87521,0.00132997,0.00132997,0.00132997
9,127.379,1.17419,0.87773,0.8746,0.68864,0.51058,0.55421,0.32951,1.45588,1.37359,0.88141,0.00131582,0.00131582,0.00131582
10,140.447,1.15286,0.87221,0.86648,0.7397,0.4951,0.57147,0.34233,1.37952,1.24128,0.87108,0.00130168,0.00130168,0.00130168
11,153.46,1.16334,0.86488,0.87179,0.66953,0.39552,0.44711,0.25212,1.58328,1.63401,0.88981,0.00128753,0.00128753,0.00128753
12,166.08,1.14726,0.83249,0.86083,0.69478,0.46513,0.51175,0.32807,1.29984,1.3792,0.87216,0.00127338,0.00127338,0.00127338
13,178.912,1.11474,0.80949,0.85891,0.73487,0.47077,0.53496,0.30048,1.47141,1.41678,0.87252,0.00125923,0.00125923,0.00125923
14,191.672,1.10286,0.79283,0.85897,0.6752,0.51726,0.55868,0.3529,1.31956,1.22247,0.8742,0.00124509,0.00124509,0.00124509
15,204.918,1.10357,0.78019,0.85888,0.73273,0.49087,0.56474,0.34243,1.31947,1.31041,0.85902,0.00123094,0.00123094,0.00123094
16,217.572,1.09255,0.75701,0.85787,0.72379,0.52771,0.5893,0.35506,1.32694,1.17217,0.85991,0.00121679,0.00121679,0.00121679
17,230.771,1.08325,0.75036,0.85562,0.68826,0.48443,0.55224,0.34519,1.30631,1.40638,0.8559,0.00120265,0.00120265,0.00120265
18,243.524,1.07679,0.74454,0.85795,0.6493,0.49332,0.54019,0.33924,1.29664,1.24016,0.875,0.0011885,0.0011885,0.0011885
19,256.313,1.07131,0.7229,0.85101,0.75018,0.55738,0.62561,0.38303,1.32368,1.1377,0.86055,0.00117435,0.00117435,0.00117435
20,269.402,1.05793,0.73017,0.85364,0.73112,0.51906,0.59669,0.37118,1.30506,1.21832,0.86098,0.00116021,0.00116021,0.00116021
21,282.214,1.04492,0.71873,0.847,0.7438,0.46872,0.54376,0.31932,1.46681,1.26729,0.8764,0.00114606,0.00114606,0.00114606
22,294.92,1.07883,0.73295,0.84822,0.61222,0.4269,0.46446,0.29944,1.29437,1.47744,0.8697,0.00113191,0.00113191,0.00113191
23,307.636,1.04474,0.71191,0.84792,0.74265,0.54491,0.61609,0.37315,1.29637,1.08786,0.85645,0.00111776,0.00111776,0.00111776
24,320.426,1.03756,0.69853,0.8462,0.76173,0.52494,0.59994,0.37023,1.29648,1.11548,0.85729,0.00110362,0.00110362,0.00110362
25,333.296,1.0414,0.69809,0.84154,0.71808,0.50837,0.58493,0.35793,1.33327,1.15074,0.86489,0.00108947,0.00108947,0.00108947
26,345.997,1.02921,0.6928,0.84677,0.74722,0.56521,0.63012,0.38623,1.27007,1.06447,0.85273,0.00107532,0.00107532,0.00107532
27,359.122,1.03256,0.69936,0.84861,0.74342,0.50463,0.58166,0.36922,1.27548,1.17276,0.85459,0.00106118,0.00106118,0.00106118
28,371.866,1.0122,0.67526,0.83882,0.77232,0.56131,0.63775,0.3887,1.29824,1.04153,0.85602,0.00104703,0.00104703,0.00104703
29,384.88,0.99479,0.65153,0.83841,0.71178,0.51251,0.57687,0.36195,1.27766,1.19316,0.86337,0.00103288,0.00103288,0.00103288
30,397.7,0.9965,0.65492,0.84058,0.74792,0.55455,0.62152,0.3735,1.29474,1.12043,0.85131,0.00101873,0.00101873,0.00101873
31,410.521,1.00983,0.65875,0.84016,0.74449,0.59396,0.63097,0.4002,1.23555,1.0782,0.8473,0.00100459,0.00100459,0.00100459
32,423.593,0.99506,0.64925,0.84076,0.72887,0.55477,0.60751,0.38747,1.25873,1.08148,0.8567,0.00099044,0.00099044,0.00099044
33,436.326,0.99747,0.65239,0.83774,0.7727,0.56339,0.63184,0.40102,1.236,1.0745,0.8541,0.000976293,0.000976293,0.000976293
34,449.353,0.97705,0.64162,0.83755,0.80849,0.55739,0.64139,0.41401,1.2144,1.09436,0.84593,0.000962146,0.000962146,0.000962146
35,462.554,1.00387,0.65193,0.83923,0.72709,0.58789,0.63659,0.41428,1.20885,1.10174,0.84781,0.000947999,0.000947999,0.000947999
36,475.602,0.9829,0.63802,0.83859,0.77082,0.58497,0.64757,0.41279,1.22629,1.0562,0.84908,0.000933851,0.000933851,0.000933851
37,488.386,0.97595,0.63148,0.8374,0.74243,0.56799,0.6241,0.38542,1.28595,1.08223,0.85287,0.000919704,0.000919704,0.000919704
38,501.074,0.97539,0.6163,0.83588,0.71657,0.61364,0.64105,0.40674,1.22489,1.03718,0.85097,0.000905557,0.000905557,0.000905557
39,513.742,0.96653,0.61055,0.8326,0.75448,0.55959,0.61683,0.39812,1.22334,1.20996,0.84612,0.00089141,0.00089141,0.00089141
40,526.489,0.96802,0.61251,0.83215,0.75634,0.57621,0.63767,0.39707,1.27027,1.11412,0.8586,0.000877263,0.000877263,0.000877263
41,539.21,0.95734,0.60282,0.83564,0.74043,0.5924,0.63791,0.40208,1.22862,1.01808,0.85079,0.000863116,0.000863116,0.000863116
42,551.999,0.94658,0.59959,0.83213,0.76396,0.60397,0.66318,0.42448,1.18981,0.9834,0.84402,0.000848969,0.000848969,0.000848969
43,565.06,0.94859,0.59981,0.83048,0.76958,0.60177,0.65265,0.41326,1.20156,0.97779,0.84562,0.000834822,0.000834822,0.000834822
44,577.865,0.95142,0.60326,0.83567,0.76483,0.56805,0.64226,0.41115,1.20807,1.06913,0.84624,0.000820675,0.000820675,0.000820675
45,590.565,0.93944,0.59671,0.83071,0.7777,0.58397,0.65627,0.40956,1.22812,1.0328,0.84532,0.000806528,0.000806528,0.000806528
46,603.275,0.92569,0.5768,0.82845,0.76752,0.57878,0.63851,0.40511,1.22724,1.03419,0.85174,0.00079238,0.00079238,0.00079238
47,615.954,0.95588,0.60097,0.83541,0.74567,0.59151,0.644,0.41407,1.20718,1.06313,0.85062,0.000778233,0.000778233,0.000778233
48,628.641,0.94565,0.59312,0.82918,0.80472,0.58484,0.66233,0.42799,1.17986,1.00885,0.84398,0.000764086,0.000764086,0.000764086
49,641.659,0.92574,0.57916,0.82621,0.73847,0.59569,0.64375,0.39862,1.26831,1.04354,0.84973,0.000749939,0.000749939,0.000749939
50,654.358,0.93074,0.57677,0.82988,0.78181,0.58873,0.66303,0.42062,1.19858,0.95965,0.84507,0.000735792,0.000735792,0.000735792
51,667.056,0.9195,0.56352,0.83134,0.73494,0.62691,0.66722,0.43184,1.19699,0.98117,0.84409,0.000721645,0.000721645,0.000721645
52,680.201,0.92611,0.57265,0.8301,0.75448,0.60788,0.64709,0.40663,1.23651,1.03602,0.84609,0.000707498,0.000707498,0.000707498
53,693.006,0.9151,0.55434,0.82395,0.80557,0.57353,0.66095,0.42716,1.19724,1.013,0.85093,0.000693351,0.000693351,0.000693351
54,705.777,0.92825,0.57062,0.82661,0.75951,0.59628,0.65914,0.40537,1.25629,1.00232,0.84986,0.000679204,0.000679204,0.000679204
55,718.57,0.92525,0.57214,0.82735,0.76915,0.60049,0.65832,0.42241,1.2114,1.00025,0.84935,0.000665057,0.000665057,0.000665057
56,731.215,0.92524,0.56703,0.8231,0.77153,0.58489,0.64055,0.41799,1.20154,1.07634,0.8493,0.000650909,0.000650909,0.000650909
57,744.058,0.90449,0.55813,0.82309,0.78482,0.58043,0.6614,0.41514,1.22493,1.00385,0.84665,0.000636762,0.000636762,0.000636762
58,756.78,0.90886,0.55035,0.82589,0.7768,0.61228,0.67316,0.43481,1.19687,0.9725,0.84707,0.000622615,0.000622615,0.000622615
59,769.961,0.90265,0.55607,0.82377,0.76828,0.60075,0.66448,0.42566,1.21508,0.99435,0.84776,0.000608468,0.000608468,0.000608468
60,782.636,0.89936,0.54218,0.82175,0.77448,0.58279,0.65385,0.42139,1.20283,1.04224,0.8487,0.000594321,0.000594321,0.000594321
61,795.516,0.88466,0.54406,0.82204,0.75762,0.61356,0.65791,0.43183,1.15277,1.01361,0.84152,0.000580174,0.000580174,0.000580174
62,808.245,0.87115,0.53062,0.82057,0.7996,0.59741,0.67404,0.43351,1.18928,0.96639,0.84345,0.000566027,0.000566027,0.000566027
63,820.958,0.90106,0.54174,0.82376,0.76009,0.60787,0.66614,0.4295,1.20092,1.0021,0.84588,0.00055188,0.00055188,0.00055188
64,833.778,0.87979,0.53424,0.82221,0.76376,0.60116,0.64947,0.42268,1.18148,1.02764,0.84482,0.000537733,0.000537733,0.000537733
65,846.479,0.88077,0.52527,0.81902,0.77724,0.59119,0.65844,0.43008,1.17019,0.99958,0.84139,0.000523586,0.000523586,0.000523586
66,859.272,0.87521,0.52994,0.81899,0.73383,0.63779,0.66313,0.42904,1.18272,0.9731,0.84493,0.000509438,0.000509438,0.000509438
67,872.048,0.86222,0.51449,0.81807,0.77679,0.56904,0.63581,0.42161,1.17955,1.13333,0.8463,0.000495291,0.000495291,0.000495291
68,884.926,0.86563,0.51288,0.81663,0.77487,0.59988,0.65561,0.42503,1.18295,1.0044,0.84287,0.000481144,0.000481144,0.000481144
69,897.811,0.86672,0.51698,0.81872,0.78319,0.61987,0.67182,0.4286,1.18072,0.95634,0.84242,0.000466997,0.000466997,0.000466997
70,910.774,0.86344,0.50994,0.81896,0.78865,0.60004,0.66328,0.42857,1.18742,0.97274,0.84533,0.00045285,0.00045285,0.00045285
71,923.598,0.85679,0.50813,0.8208,0.78362,0.58888,0.66684,0.42801,1.18778,0.98549,0.84697,0.000438703,0.000438703,0.000438703
72,936.456,0.85203,0.50088,0.8193,0.77826,0.60362,0.6739,0.43229,1.19031,0.95872,0.84557,0.000424556,0.000424556,0.000424556
73,949.325,0.86037,0.50544,0.81734,0.77621,0.60812,0.67532,0.42749,1.20794,0.97872,0.84768,0.000410409,0.000410409,0.000410409
74,962.213,0.84893,0.49933,0.81642,0.77171,0.58767,0.65703,0.42905,1.18325,0.98615,0.84299,0.000396262,0.000396262,0.000396262
75,974.959,0.84383,0.49611,0.81616,0.77465,0.62331,0.67229,0.43811,1.16587,0.98319,0.84257,0.000382115,0.000382115,0.000382115
76,988.128,0.85248,0.49944,0.81882,0.7816,0.60605,0.6681,0.42944,1.17383,0.99024,0.84283,0.000367967,0.000367967,0.000367967
77,1000.9,0.85108,0.49684,0.81596,0.80641,0.60232,0.67951,0.4376,1.16559,0.97084,0.84101,0.00035382,0.00035382,0.00035382
78,1013.72,0.83041,0.48134,0.81601,0.77106,0.6224,0.67864,0.43454,1.1894,0.96774,0.84422,0.000339673,0.000339673,0.000339673
