epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9458,1.63448,3.67074,0.9796,0.00219,0.34084,0.03274,0.02115,1.65195,4.86473,0.94162,0.000467173,0.000467173,0.000467173
2,25.5489,1.36741,1.87951,0.90486,1,0.03037,0.23071,0.13432,1.75276,3.68864,0.9633,0.000934166,0.000934166,0.000934166
3,38.1212,1.3287,1.43535,0.90457,0.81973,0.24082,0.35353,0.209,1.62431,2.39673,0.93494,0.00139173,0.00139173,0.00139173
4,50.5919,1.34294,1.22342,0.90493,0.66127,0.39723,0.43443,0.23981,1.58044,1.89499,0.89867,0.00138656,0.00138656,0.00138656
5,63.0263,1.26375,1.05193,0.89162,0.57834,0.42694,0.43351,0.2581,1.48675,2.30328,0.89832,0.00137241,0.00137241,0.00137241
6,75.8466,1.22939,0.95548,0.88902,0.63075,0.50777,0.54038,0.31261,1.45407,1.36376,0.89102,0.00135826,0.00135826,0.00135826
7,88.1718,1.20089,0.91622,0.87822,0.61741,0.4283,0.46476,0.2532,1.64631,1.54336,0.90495,0.00134412,0.00134412,0.00134412
8,100.035,1.19245,0.87544,0.87766,0.70216,0.47815,0.54376,0.30619,1.43263,1.3844,0.88022,0.00132997,0.00132997,0.00132997
9,112.057,1.18123,0.86097,0.87772,0.70387,0.41609,0.48431,0.29413,1.43474,1.64877,0.88646,0.00131582,0.00131582,0.00131582
10,124.124,1.15505,0.85022,0.86983,0.72091,0.50415,0.57227,0.32879,1.44902,1.2699,0.87849,0.00130168,0.00130168,0.00130168
11,136.899,1.15659,0.8283,0.8726,0.66894,0.48166,0.52831,0.3048,1.4433,1.44144,0.87948,0.00128753,0.00128753,0.00128753
12,148.895,1.13178,0.79683,0.86063,0.74096,0.50932,0.58952,0.35052,1.33731,1.22981,0.86818,0.00127338,0.00127338,0.00127338
13,161.27,1.1115,0.77901,0.86016,0.71056,0.51593,0.57588,0.34476,1.39768,1.29084,0.87123,0.00125923,0.00125923,0.00125923
14,173.48,1.09672,0.77301,0.86086,0.71971,0.52936,0.58459,0.36419,1.31437,1.16512,0.86725,0.00124509,0.00124509,0.00124509
15,186.015,1.10556,0.76735,0.86002,0.68844,0.51415,0.57237,0.35002,1.33725,1.23364,0.86656,0.00123094,0.00123094,0.00123094
16,198.388,1.08906,0.74573,0.85839,0.71898,0.49814,0.54539,0.32536,1.37431,1.26834,0.86849,0.00121679,0.00121679,0.00121679
17,210.584,1.0854,0.73671,0.85622,0.758,0.52521,0.60412,0.36119,1.33303,1.32246,0.86076,0.00120265,0.00120265,0.00120265
18,222.716,1.07016,0.73266,0.85725,0.69118,0.53847,0.59256,0.36178,1.33418,1.20772,0.85651,0.0011885,0.0011885,0.0011885
19,234.543,1.05746,0.70721,0.84992,0.72452,0.55137,0.59704,0.35036,1.35679,1.15323,0.85692,0.00117435,0.00117435,0.00117435
20,246.81,1.05513,0.71411,0.85748,0.73354,0.53423,0.58751,0.37063,1.26798,1.19312,0.85992,0.00116021,0.00116021,0.00116021
21,259.302,1.04265,0.70067,0.84677,0.76954,0.51783,0.6047,0.37543,1.29482,1.21904,0.862,0.00114606,0.00114606,0.00114606
22,272.04,1.0695,0.71432,0.84719,0.69842,0.58119,0.63077,0.39522,1.25271,1.17796,0.85215,0.00113191,0.00113191,0.00113191
23,284.371,1.04057,0.68862,0.84834,0.78284,0.51872,0.61436,0.38557,1.25752,1.09868,0.85303,0.00111776,0.00111776,0.00111776
24,296.239,1.04263,0.68743,0.84868,0.77978,0.55042,0.62456,0.38377,1.26155,1.09771,0.8521,0.00110362,0.00110362,0.00110362
25,308.418,1.03865,0.68152,0.84317,0.72443,0.54384,0.60898,0.37081,1.30761,1.14387,0.85628,0.00108947,0.00108947,0.00108947
26,320.219,1.01705,0.66126,0.84647,0.74965,0.5443,0.62469,0.38405,1.27704,1.06157,0.85788,0.00107532,0.00107532,0.00107532
27,332.374,1.01989,0.67723,0.85074,0.74324,0.54876,0.61165,0.37946,1.27659,1.1201,0.85136,0.00106118,0.00106118,0.00106118
